CourseId;InstituteName;CourseName;Category;DeliveryMethod;Location;Language;StartDate
42A786B5-9650-4DD3-8C9E-79D77D18CD1B;YH Akademin;TRAC Turism- och Resekonsult;Hotell / Event / Turism;Distans med träffar;Helsingborg;NULL;2024-01-08 00:00:00.000
4A9578FB-4FF9-4018-A2BD-6EAB9CD64A35;Jakobsbergs Folkhögskola;Journalistik! – Radio, Webb, Reportage ;Media / Kommunikation;Klassrum;Jakobsberg;NULL;2024-08-22 00:00:00.000
7C80E073-F7EA-4AA0-A87E-6A0E8BB834EA;Jakobsbergs Folkhögskola;Skriv! - Poesi, prosa, dramatik;Estetiska utbildningar;Klassrum;Jakobsberg;NULL;2024-08-22 00:00:00.000
4358CDBD-E3E1-43FA-8981-C8CFF0022676;Albins folkhögskola;Allmän kurs;Matematik;Klassrum;Landskrona;NULL;2024-01-11 10:00:00.000
A1DE7A33-F757-4012-991A-CC9C91FA7DE1;The Academy;Lic. Kostrådgivare;Kostrådgivare;Distans;Distance;NULL;2023-12-15 00:00:00.000
16B734BB-15A0-45A5-8B9A-DCADF2112CC2;Formakademin i Lidköping;Mönsterdesign & grafiska tekniker ;Hantverk;Klassrum;Lidköping;NULL;2024-08-18 09:00:00.000
39E6FE31-1105-4B0E-B502-3B81DBF3170E;Geijerskolan, Folkhögskolan i Ransäter;Kyrkomusikerutbildning;Musik / Sång / Musikproduktion;Klassrum;Ransäter;NULL;2024-08-26 00:00:00.000
47EBA3BC-69D8-40C0-81C0-64C69F68303E;Geijerskolan, Folkhögskolan i Ransäter;Balans och inspiration;Musik / Sång / Musikproduktion;Klassrum;Ransäter;NULL;2024-08-26 00:00:00.000
CEC18831-1342-47FC-92CD-DB88622FCE94;Katrinebergs Folkhögskola;Filmlinjen ;Film / TV;Klassrum;Vessigebro;NULL;2024-08-19 00:00:00.000
FD62E17C-96A1-482E-A974-4CA30478D42D;Katrinebergs Folkhögskola;Personlig tränare med hälsofokus ;Hälsa / Friskvård;Klassrum;Vessigebro;NULL;2024-08-19 00:00:00.000
0F5A0C8F-B147-449D-87B8-D30EA695D42E;Les Mills;BODYCOMBAT® Instruktör;Idrott / Sport;Klassrum;Stockholm;English;2024-01-20 00:00:00.000
3CCDE2A2-74DC-4B6C-B5D9-1BDB859A1BCE;Les Mills;BODYJAM® Instruktör;Idrott / Sport;Klassrum;Göteborg;English;2024-02-17 00:00:00.000
47434631-30D6-4249-AAA2-64EF97C92A10;Geijerskolan, Folkhögskolan i Ransäter;Allmän kurs - Litteratur- och skrivarlinje;Bild / Form / Konst;Klassrum;Ransäter;NULL;2024-08-26 00:00:00.000
D8F1BBE8-76BA-4BDF-9425-492D9DDF05A7;Livscoachakademin Kjell Haglund;"NYHET  ""THE JOURNEY"" DEN INRE SJÄLSRESAN Live på plats i Varberg & Västerås";Hälsa / Friskvård;Klassrum;Varberg;NULL;2024-03-01 00:00:00.000
EE398962-3AA5-45EA-B5D5-C36E4BB83D08;Bergklint education;Hälsoinformatör - Inriktning mot barn och ungdomar - distans;Hälsa / Friskvård;Distans;Distance;NULL;2024-06-24 00:00:00.000
B830EE9E-F7C2-43EF-8E7A-E0DB22B6F73A;Folkuniversitetet Väst ;Diplomerad Redovisningsekonom;Redovisning / Bokföring;Klassrum;Göteborg;Swedish;2024-02-22 00:00:00.000
45471752-C17D-4C7A-8E69-9B316AD51FA1;Bergklint education;Allergi informatör - distans;Kök / Restaurang;Distans;Distance;Swedish;2024-06-24 00:00:00.000
36603605-EFB5-42C5-B657-C44733BBE80E;Bergklint education;Hälsoinspiratör - distans;Hälsa / Friskvård;Distans;Distance;NULL;2024-06-24 00:00:00.000
9CC6E728-A3D8-4836-9446-837305E5BE95;Medieinstitutet;Webbutvecklare inom e-handel;Data / IT;Klassrum;Stockholm;NULL;2024-08-30 00:00:00.000
0051C35F-35BE-4814-A510-32C9E0B97A5F;John Ericsson Institutet;Drift- och fastighetstekniker;Teknik;Klassrum;Stockholm;NULL;2024-08-31 00:00:00.000
FF088662-3145-4A87-B40A-C91D5C77F043;Akademin för SERterapi;Par och relationsterapeut;Psykologi;Klassrum;Helsingborg;NULL;2024-09-23 09:00:00.000
DCC60070-B2DC-4486-8BD4-01FB5529D767;Akademi Båstad Yrkeshögskola;Kvalificerad trädgårdsanläggare;Trädgårdsmästare;Distans med träffar;Båstad;NULL;2026-01-12 00:00:00.000
